,OBJECTID,siteNo,location,SiteID,Easting,Northing,Current_,pollutants,InstrumentID,Exposure,tube_kerb,rec_kerb,comments,AQMA,Detailed_Location,Tube_Height,Elevation,Grid_ID,LocationClass,LAQM_Locationclass,Survey,RouteID,RouteSequenceID,Description,DateStart,DateEnd,Colocated,Duplicate_Triplicate,obstruction_m,obstruction_lt,inlet_flow_clear,junction_m,longitude,latitude
119,120,RT123,corner York rd  and  Whitehouse St,123,359213,171916,No,NO2,1,Yes,2.0,1.0,,Yes,,2.4,11.9,41.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.588268871563152,51.44475382158686
120,121,RT124,Corner York Rd  and  Spring St,124,359324,171929,No,BTX NO2,1,Yes,1.0,3.0,,Yes,,,11.6,41.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5866732721804797,51.44487872666277
121,122,RT125,York Road,125,359214,171917,Yes,NO2,1,Yes,2.0,5.0,,Yes,Outside No. 94 on lamp post.  Parking on Street.,1.8,11.9,41.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,1.0,No,Yes,176.0,-2.5882545984160195,51.444762885059774
122,123,RT126,Temple Way a,126,359449,172718,No,BTX NO2,1,No,,,,No,,,9.3,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5849650844921754,51.451981773829445
123,124,RT127,Temple Way b,127,359496,172709,No,BTX NO2,1,No,,,,No,,,9.5,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.584287704173026,51.451904231761795
124,125,RT128,Redcliffe Way east,128,359312,172386,No,BTX NO2,1,No,,,,No,,,8.5,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.586898402065372,51.44898680250126
125,126,RT129,Redcliffe Way west,129,359141,172382,No,BTX NO2,1,No,,,,No,,,9.9,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5893585364207947,51.448938466135765
126,127,RT130,Temple Gate,130,359434,172380,No,BTX NO2,1,No,,,,No,,,8.5,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5851422014522814,51.44894165096553
127,128,RT131,between Redcliffe Way and Temple Quay rndbt,131,359405,172445,No,BTX NO2,1,No,,,,No,,,9.1,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.585566943321254,51.44952398551517
128,129,RT132,Temple Quay rndbt west,132,359449,172519,No,BTX NO2,1,No,,,,No,,,9.6,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.58494227131949,51.45019249643664
129,130,RT133,Temple Quay rndbt east,133,359512,172492,No,BTX NO2,1,No,,,,No,,,9.9,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5840326252108037,51.449954266157484
130,131,RT134,Temple Way near Avon Street east,134,359541,172878,No,BTX NO2,1,No,,,,No,,,9.5,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5836594711288354,51.45342700820158
131,132,RT135,Temple Way near Avon street west,135,359492,172888,No,BTX NO2,1,No,,,,No,,,8.4,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5843657701842644,51.45351340190461
132,133,RT136,St Thomas Street,136,359197,172633,No,BTX NO2,1,No,,,,No,,,8.6,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.588581652918336,51.45119931424219
133,134,RT137,Redcliffe Street north,137,359050,172675,No,BTX NO2,1,No,,,,No,,,8.6,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.590701870341586,51.4515662886665
134,135,RT138,The  Grove,138,358741,172434,No,BTX NO2,1,No,,,,No,,,8.9,48.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5951203540332766,51.44937686117769
135,136,RT139,Prince Street,139,358623,172534,No,BTX NO2,1,Yes,,,,No,,,9.0,48.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5968299851407086,51.450267318752324
136,137,RT140,Bath Bridge north,140,359652,172217,No,BTX NO2,1,No,,,,No,,,5.2,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5819867169179322,51.44749174398013
137,138,RT141,Bedminster Parade near bridge,141,358948,171945,No,BTX NO2,1,Yes,,,,No,,,9.4,40.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.592085101730448,51.44499532780551
138,139,RT142,Coronation Road,142,358916,172005,No,BTX NO2,1,Yes,,,,No,,,10.2,48.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.592552477268808,51.445532462905255
139,140,RT143,Bedminster Bridge east,143,359055,172007,No,BTX NO2,1,No,,,,No,,,-3.8,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5905527165570477,51.445560558745015
140,141,RT144,Bedminster Bridge west,144,359000,172048,No,BTX NO2,1,No,,,,No,,,11.1,0.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.591348821459799,51.44592519648595
141,142,RT145,Coronation Road near entry to Asda,145,358701,171981,No,BTX NO2,1,Yes,,,,No,,,11.1,40.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5956431934052207,51.44530096603815
142,143,RT146,roundabout end of Wapping Rd  commercial road,146,358636,172061,No,BTX NO2,1,Yes,,,,No,,,-3.8,48.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5965877632092074,51.446015487806356
143,144,HS147,Anchor Road,147,358514,172691,Yes,NO2,1,No,1.0,5.0,,Yes,at rear of no1 harbourside on Anchor road opposite marriott hotel on traffic light pedestrian crossing,2.2,9.4,48.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,1.0,Yes,Yes,55.0,-2.59841691911104,51.4516709446927
144,145,HS148,Anchor Road opp Cathedral School,148,358336,172601,No,BTX NO2,1,No,1.0,100.0,,Yes,,,9.3,48.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,,No,No,,-2.600967752856957,51.45084858834706
145,146,HS149,Anchor Road a,149,358185,172564,No,BTX NO2,1,Yes,2.0,4.0,Temporarilly on opp side of Road,Yes,,,9.3,48.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,,No,No,,-2.603136292599651,51.45050472609301
146,147,HS150,Anchor Road b,150,358127,172568,No,BTX NO2,1,Yes,5.0,100.0,,Yes,,,9.3,48.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,,No,No,,-2.603971398697931,51.45053638635717
147,148,HS151,Anchor Road c,151,358078,172575,No,BTX NO2,1,Yes,5.0,35.0,,Yes,,,10.3,48.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,,No,No,,-2.604677350962706,51.45059568417691
148,149,HS152,Anchor Road near Hotwells rndbt east,152,357954,172573,No,BTX NO2,1,Yes,,,,No,,,10.5,47.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,,No,No,,-2.6064614987625556,51.45056846641576
149,150,HS153,Anchor Road near Hotwells rndbt west,153,357800,172560,No,BTX NO2,1,Yes,,,,Yes,,,10.0,47.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,,No,No,,-2.608676034689369,51.45044007269122
150,151,HS154,Hotwells Road,154,357601,172483,Yes,NO2,1,No,1.0,100.0,,Yes,lamppost opposite lime tree gallery just before GATSO camera outbound near naval ship,2.4,9.7,47.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,1.0,No,Yes,210.0,-2.6115304515639197,51.449732827699066
151,152,HS155,Jacobs Wells Road South,155,357838,172713,Yes,NO2,1,No,2.0,100.0,,Yes,on post near steps up to brandon hill from jacobs well road,3.2,17.8,47.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,1.0,No,Yes,98.0,-2.608147517999857,51.451818595080134
152,153,HS156,Jacobs Wells road opp Clifton hill,156,357709,173018,Yes,NO2,1,Yes,2.0,2.0,,Yes,lamppost 17 opposite QEH next to parking meter,2.5,39.2,55.0,Urban Traffic,Roadside,harbourside (DT),,,,,,,,1.0,No,Yes,220.0,-2.6100405386055896,51.454551300168845
153,154,GR157,Stokes Croft  Ashley Road,157,359119,174090,Yes,NO2,1,Yes,2.0,2.0,,Yes,Next to 125 Cheltenham Road on junction.,2.4,27.1,67.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,1.0,Yes,Yes,1.0,-2.589872880847064,51.464294102342414
154,155,GR158,botttom of Arley Hill,158,359087,174254,No,BTX NO2,1,Yes,1.0,30.0,,Yes,,,23.8,67.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,,No,No,,-2.5903525587963436,51.46576636541995
155,156,GR159,Cromwell Road,159,358891,174608,Yes,NO2,1,Yes,2.0,6.0,,Yes,On motion sensor post for pedestrian crossing on corner of Cotham Brow and Cheltenham Road adjacent to Cat and Wheel pub.,2.5,26.3,66.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,1.0,No,Yes,1.0,-2.5932153713726276,51.46893498364398
156,157,GR160,Zetland Road junction,160,358859,174780,No,BTX NO2,1,Yes,0.0,3.0,,Yes,,,26.5,66.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,,No,No,,-2.593696172512945,51.470479111749874
157,158,GR161,Bishop Road,161,359152,175733,Yes,NO2,1,Yes,2.0,6.0,,Yes,outside Artemis on black lamp post 214 Gloucester Road,2.2,52.5,80.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,3.0,No,Yes,540.0,-2.5895885992418624,51.4790687896319
158,159,GR162,Dongola Avenue,162,359277,176000,No,BTX NO2,1,Yes,,,,No,,,55.4,0.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,,No,No,,-2.587819570979886,51.48147836387109
159,160,GR163,Strathmore Road,163,359435,176574,Yes,NO2,1,Yes,3.0,10.0,,Yes,on black lamp post outside Horfield Methodist Church,3.6,65.4,93.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,3.0,No,Yes,30.0,-2.5856104365558332,51.48665050784872
160,161,GR164,Horfield Common,164,359453,176932,No,BTX NO2,1,No,,,,No,,,79.7,93.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,,No,No,,-2.5853923656713236,51.48987056573658
161,162,GR165,Sports Centre,165,359634,177349,No,BTX NO2,1,No,,,,No,,,86.5,108.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,,No,No,,-2.582833269757885,51.49363278849356
162,163,GR166,Monks Park Avenue,166,359751,177708,No,BTX NO2,1,No,,,,No,,,89.6,108.0,Urban Traffic,Roadside,gloucester road showcase route (DT),,,,,,,,,No,No,,-2.581189104679922,51.49686892482894
163,164,BT167,junction Birchwood Road,167,362463,171472,No,BTX NO2,1,No,,,,No,,,60.8,44.0,Urban Traffic,Roadside,broomhill road traffic calming (DT),,,,,,,,,No,No,,-2.5414589210716474,51.44098708913197
164,165,BT168,shops,168,362713,171446,No,BTX NO2,1,No,,,,No,,,63.9,44.0,Urban Traffic,Roadside,broomhill road traffic calming (DT),,,,,,,,,No,No,,-2.5378592840004353,51.440769849666765
165,166,BT169,Eastwood Crescent,169,362909,171284,No,BTX NO2,1,No,,,,No,,,62.9,44.0,Urban Traffic,Roadside,broomhill road traffic calming (DT),,,,,,,,,No,No,,-2.5350223849711337,51.4393261585862
166,167,BT170,opp Whitmore Avenue,170,363011,171145,No,BTX NO2,1,No,,,,No,,,59.6,45.0,Urban Traffic,Roadside,broomhill road traffic calming (DT),,,,,,,,,No,No,,-2.5335404589287776,51.43808306527075
167,168,BT171,Raymill,171,363079,170826,No,BTX NO2,1,No,,,,No,,,55.3,35.0,Urban Traffic,Roadside,broomhill road traffic calming (DT),,,,,,,,,No,No,,-2.532528997993192,51.435219313950796
168,169,BR172,Ironmould Lane,172,363477,169853,No,BTX NO2,1,No,,,,No,,,36.5,27.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,,No,No,,-2.5267027839653413,51.4264965789615
169,170,BR173,Bath Road park  and  ride,173,362701,170142,No,BTX NO2,1,No,,,,No,,,56.4,34.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,,No,No,,-2.537894223455063,51.429044438438964
170,171,BR174,West Town Lane junction,174,362172,170407,No,NO2,1,Yes,,,,Yes,,,46.4,34.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,,No,No,,-2.5455314788781265,51.43139201707486
171,172,BR175,top of Brislington Hill,175,362147,170525,Yes,NO2,1,Yes,2.0,15.0,,Yes,On black lamp post behind large double stand road sign on the downhill side of junction with Glenarm Road. Park at car park on junction between Bath,3.2,41.2,34.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,1.0,Yes,Yes,60.0,-2.5459037821250927,51.43245132056657
172,173,BR176,Kenneth Road,176,361921,170696,No,BTX NO2,1,No,,,,No,,,25.9,33.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,,No,No,,-2.5491731610372392,51.43397366210998
173,174,BR177,Water Lane,177,361692,170703,No,BTX NO2,1,No,,,,No,,,38.3,33.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,,No,No,,-2.552468055968623,51.434021144518226
174,175,BR178,opp Kensington Park Road,178,361498,170992,No,BTX NO2,1,No,,,,No,,,31.7,33.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,,No,No,,-2.5552903374698617,51.436606452256264
175,176,BR179,opp Kings Road,179,361267,171354,No,BTX NO2,1,No,,,,No,,,24.8,43.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,,No,No,,-2.5586533159943396,51.439845495017046
176,177,BR180,Arnos Court,180,361127,171539,No,BTX NO2,1,No,,,,No,,,15.4,43.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,,No,No,,-2.560687936887823,51.44149924972232
177,178,BR181,Totterdown Bridge,181,360305,171765,No,BTX NO2,1,No,,,,No,,,9.4,42.0,Urban Traffic,Roadside,bath road showcase route (DT),,,,,,,,,No,No,,-2.5725398554331576,51.44347408281017
178,179,B15,Higham Street (National),182,359831,171913,No,BTX NO2,1,No,,,,No,,,36.1,41.0,Urban Traffic,Roadside,National (DT),,,,,,,,,No,No,,-2.579376563407313,51.44477121501139
179,180,B2,Ferndown Close (National),183,354495,177487,No,BTX NO2,1,No,,,,No,,,69.4,103.0,Urban Traffic,Roadside,National (DT),,,,,,,,,No,No,,-2.656871356302091,51.49448219200684
180,181,B5,Hillcrest (National),184,360669,170052,No,BTX NO2,1,No,,,,No,,,52.6,32.0,Urban Traffic,Roadside,National (DT),,,,,,,,,No,No,,-2.5671107749246964,51.428097788895435
181,182,B7,Newfoundland Way (National),185,359594,173650,No,NO2,1,Yes,2.0,2.0,,Yes,,,9.6,57.0,Urban Traffic,Roadside,National (DT),,,,,,,,,No,No,,-2.5829850191857417,51.46037215426231
182,183,6 Borewell,No. 6 Borewell WW,186,353336,179263,No,HM,3,No,,,,No,,,7.5,,Urban Industrial,Industrial,BZL Heavy Metals,,,,,,,,,No,No,,-2.673801103052679,51.51035484749122
183,184,ALSCHOOL,Almondsbury School,187,360237,183958,No,NOX NO2 NO Meteorology,2,Yes,,,,No,,,43.1,,Urban Background,Urban background,Background Continuous,,,,,,,,,No,No,,-2.574897107857412,51.55309786673107
184,185,AUN1,AURN Bristol Centre,188,359406,173299,No,NOX NO2 NO CO SO2 PM10,2,Yes,,,,No,,,10.3,,Urban Background,Urban background,Background Continuous,,,,,,,,,No,No,,-2.5856505875977023,51.45720266987896
185,186,AUN2,Hannah Moore School,189,359937,172910,No,Hydrocarbons,2,Yes,,,,No,,,9.5,,Urban Background,Urban background,Background Continuous,,,,,,,,,No,No,,-2.577964298082191,51.45374302471645
186,187,AW1,Albright and Wilson,190,352418,180582,No,DUST,4,No,,,,No,,,6.6,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.687207260894234,51.522136709555554
187,188,BTX1,Tesco forecourt,191,360925,175167,No,BTX,1,Yes,,,,No,,,16.1,,Urban Industrial,Industrial,petrol station btx survey (DT),,,,,,,,,No,No,,-2.563995632596566,51.47410548125416
188,189,BTX10,Stapleton2,192,361162,175387,No,BTX,1,Yes,,,,No,,,13.8,,Urban Industrial,Industrial,petrol station btx survey (DT),,,,,,,,,No,No,,-2.5606076962227853,51.47609980719119
189,190,BTX2,Eastgate,193,360862,175202,No,BTX,1,Yes,,,,No,,,16.3,,Urban Industrial,Industrial,petrol station btx survey (DT),,,,,,,,,No,No,,-2.5649065715121577,51.47441581768502
190,191,BTX3,Tesco spot,194,361056,175261,No,BTX,1,Yes,,,,No,,,8.2,,Urban Industrial,Industrial,petrol station btx survey (DT),,,,,,,,,No,No,,-2.5621199518726083,51.47495966207294
191,192,BTX6,Sainsbury Ashton3,197,357142,170714,No,BTX,1,Yes,,,,No,,,11.3,,Urban Industrial,Industrial,petrol station btx survey (DT),,,,,,,,,No,No,,-2.617922002411997,51.433793358661845
192,193,BTX7,Redland Road,198,358478,174712,No,BTX,1,Yes,,,,No,,,41.3,,Urban Industrial,Industrial,petrol station btx survey (DT),,,,,,,,,No,No,,-2.5991732807744907,51.46983977172733
193,194,BTX8,Arnos Court,199,361149,171732,No,BTX,1,Yes,,,,No,,,12.7,,Urban Industrial,Industrial,petrol station btx survey (DT),,,,,,,,,No,No,,-2.5603926664459955,51.44323606658584
194,195,BTX9,Stapleton1,200,361209,175481,No,BTX,1,Yes,,,,No,,,11.4,,Urban Industrial,Industrial,petrol station btx survey (DT),,,,,,,,,No,No,,-2.559941354434898,51.47694818052962
195,196,CC,Castle Cement,201,350101,177003,No,DUST,4,No,,,,No,,,9.4,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.720090901006503,51.489758645875845
196,197,CONTINBLAISE,Blaise Castle House,202,356197,178711,No,O3 Meteorology,2,Yes,,,,No,,,51.3,,Urban Background,Urban background,Background Continuous,,,,,,,,,No,No,,-2.6325082508552082,51.505621914772334
197,198,BCC,Brislington Depot,203,361178,171566,Yes,NOX NO2 NO,2,Yes,18.0,,S003,No,Inside brislington depot office,3.5,14.6,,Urban Background,Urban background,Roadside Continuous,,,This site is a long established monitoring site in the Council's transport depot. The site is located off the busy A4 Bath Road at Arno's Vale and is a few hundred metres away from the southern end of the Spine Road linking the Bath Road with the M32. It is a highly trafficked area though the site is set back from the road by several metres and the sample inlet is on the building façade. The concentrations measured at the site are comparatively low because of the distance from the road. The height of the sample inlet is approximately 3 metres above ground.,978307200000.0,,,,1.0,Yes,No,30.0,-2.5599571567289274,51.44174551496291
198,199,CONTRACTRR,Little Stoke Parish Hall,204,361660,180900,No,NOX NO2 NO Meteorology,2,Yes,,,,No,,,55.6,,Urban Background,Urban background,Background Continuous,,,,,,,,,No,No,,-2.554039520984241,51.52570164161562
199,200,CONTRACTSEABANK,Terra UK site,205,353804,182850,No,NOX NO2 NO Meteorology,2,No,,,,No,,,6.6,,Urban Industrial,Industrial,Industrial Continuous,,,,,,,,,No,No,,-2.6675304493142646,51.54264352874578
200,201,CONTINRUPERTSTREET,Rupert Street,206,358667,173108,No,NOX NO2 NO,2,Yes,,,on traffic island between two dual carriageways,Yes,,,8.9,,Urban Traffic,Roadside,Roadside Continuous,,,,1041379200000.0,1451520000000.0,,,,No,No,,-2.596264050253032,51.45543159238385
201,202,DUNDRYMETMAST,Dundry Hill,207,355450,166620,No,Meteorology,5,No,,,,No,,,228.2,,Rural Industrial,Industrial,Background Continuous,,,,,,,,,No,No,,-2.641743669229477,51.39685218394142
202,203,HV,Hallen Village,208,355079,180076,No,HM,3,Yes,,,,No,,,7.6,,Urban Background,Urban background,BZL Heavy Metals,,,,1041379200000.0,1451520000000.0,,,,No,No,,-2.6487900032219747,51.51780625434117
203,204,IKEA,IKEA M32,209,361059,175297,No,NOX NO2 NO,2,No,,,on traffic island between dual cariageways rndbt,No,,,11.2,,Urban Traffic,Roadside,Roadside Continuous,,,,884390400000.0,949795200000.0,,,,No,No,,-2.562080742351604,51.47528354599943
204,205,ISC1,Rhone Poulenc,210,351918,179594,No,DUST,4,No,,,,No,,,6.9,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.69427791057201,51.51321142263959
205,206,ISC2,Rhone Poulenc,211,351932,179663,No,DUST,4,No,,,,No,,,6.9,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.694085634962042,51.513832975932715
206,207,ISC3,Rhone Poulenc,212,352047,179621,No,DUST,4,No,,,,No,,,6.9,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.692422798119754,51.51346516976958
207,208,OM,Old Market,213,359555,173166,No,NOX NO2 NO PM10,2,No,,,2 metres from kerbside rndbt,Yes,,,14.0,,Urban Traffic,Roadside,Roadside Continuous,,,,,,,,,No,No,,-2.583490939638871,51.45601753036153
208,209,P,Port Health Office,214,351283,178176,No,DUST,4,No,,,,No,,,8.9,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.7032308485182033,51.5004080864004
209,210,BCC,Parson Street School,215,358042,170582,Yes,NOX NO2 NO PM2.5,2,Yes,4.0,4.0,S008,Yes,4 metres from roadside school,1.5,14.9,,Urban Traffic,Roadside,Roadside Continuous,,,The Parson Street School monitoring site has been operating since 2002 and was selected as a roadside site that represents residential exposure to relatively high concentrations of traffic generated pollution. The sample inlet is approximately 1 metre from ground level and four metres from the kerb of Bedminster Road where traffic queues for the traffic lights,1012521600000.0,,,,1.0,Yes,No,95.0,-2.604960010761926,51.43267429331247
210,211,PF,Poplar Farm,216,353871,179534,No,Heavy Metals,3,No,,,,No,,,6.2,,Rural Industrial,Industrial,BZL Heavy Metals,,,,,,,,,No,No,,-2.6661278902156527,51.512835459672694
211,212,PHA,Port Health Office,217,351280,178149,No,Lead,3,No,,,,No,,,8.9,,Urban Industrial,Industrial,Lead  HM UK,,,,,,,,,No,No,,-2.703270314199872,51.50016507971916
212,213,RPD1,Royal Portbury Docks quayside,218,350464,177453,No,DUST,4,No,,,,No,,,7.4,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.7149265853494082,51.49383643988876
213,214,RPD2,Royal Portbury Docks cc,219,350587,177376,No,DUST,4,No,,,,No,,,8.9,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.7131441706537314,51.493154959408145
214,215,RPD3,Royal Portbury Docks road,220,350464,177260,No,DUST,4,No,,,,No,,,11.6,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.714899351337794,51.49210124252707
215,216,SSBLAISE,Blaise Castle House,221,356200,178700,No,Smoke SO2,4,Yes,,,,No,,,50.6,,Urban Background,Urban background,Industrial Sample,,,,,,,,,No,No,,-2.632463661687114,51.50552324816758
216,217,SSBN,Bristol North Baths,222,359008,175262,No,Smoke SO2,4,Yes,,,,No,,,37.9,,Urban Background,Urban background,Industrial Sample,,,,,,,,,No,No,,-2.5916072574763027,51.47482366255687
217,218,St. Matts,St. Matthias College,223,363403,176242,No,Heavy Metals,3,Yes,,,,No,,,58.6,,Urban Background,Urban background,BCC Heavy Metals,,,,,,,,,No,No,,-2.5284305603383954,51.483936832668554
218,219,STMAT,St Matthias College,224,363401,176205,No,Smoke SO2,4,Yes,,,,No,,,59.4,,Urban Background,Urban background,Industrial Sample,,,,,,,,,No,No,,-2.528455516980259,51.48360402905331
219,220,V1,The Vicarage Avonmouth,225,351616,178271,No,DUST,4,Yes,,,,No,,,7.5,,Urban Background,Urban background,Industrial Sample,,,,,,,,,No,No,,-2.6984470286069135,51.501290898689376
220,221,WESSEX,Wessex Water Avonmouth,226,353368,179385,No,Smoke SO2,4,No,,,,No,,,7.7,,Urban Industrial,Industrial,Industrial Sample,,,,,,,,,No,No,,-2.673356217088291,51.51145436742244
221,222,WWA,Wessex Water Avonmouth,227,353362,179385,No,HM,3,No,,,,No,,,7.6,,Urban Industrial,Industrial,BZL Heavy Metals,,,,,,,,,No,No,,-2.6734426725966607,51.51145387004046
222,223,CONTINTEMPLEGATE,Temple Meads Station,228,359480,172373,No,NOX NO2 NO,2,No,,,traffic island dual carriageway,No,,,9.0,,Urban Traffic,Roadside,Roadside Continuous,,,,1044057600000.0,1067212800000.0,,,,No,No,,-2.584479485631176,51.448882022379976
223,224,SLL,South Liberty Lane Travellers Site,229,356180,170800,No,BTX NO2,1,Yes,,,,No,,,8.4,28.0,Urban Background,Urban background,Other (DT),,,,,,,,,No,No,,-2.6317693941922955,51.434492210168344
224,225,N1,Parson Street School,230,358099,170608,No,BTX NO2,1,Yes,,,,Yes,,,14.1,30.0,Urban Traffic,Roadside,National (DT),,,,,,,,,No,No,,-2.604143194821381,51.43291229933199
225,226,P&R1,West Town Road,231,352201,177163,No,NO2,1,Yes,,,,No,,,10.1,101.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6898688550583443,51.491379202886165
226,227,P&R2,A4 Portway N of P and R,232,352250,177237,No,NO2,1,Yes,,,,No,,,9.5,101.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.689173221151881,51.49204866008972
227,228,P&R3,A4 Portway S of P and R,233,352396,176950,No,NO2,1,Yes,,,,No,,,17.6,86.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6870314607816184,51.489480723728285
228,229,A37_1,A37 N of Airport Rd. Junction,234,360899,170110,No,NO2,1,Yes,,,,No,,,40.4,32.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.5638091876908935,51.42863518374702
229,230,A37_2,A37 S of Airport Rd.Junction,235,360907,169850,No,NO2,1,Yes,,,,No,,,39.1,24.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.563665160089436,51.42629801878052
230,231,A4174_1,A4174 East of Airport Rd Junction,236,360751,169945,No,NO2,1,Yes,,,,No,,,33.6,24.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.5659194117826285,51.427141411368424
231,232,A4174_2,A4174 West of Airport Rd. Junction,237,361006,170088,No,NO2,1,Yes,,,,No,,,32.9,33.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.562267760651724,51.42844474462466
232,233,PS1,Parson Street School,238,358005,170504,No,NO2,1,Yes,2.0,6.0,,Yes,,,15.3,30.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6054829224691045,51.43197024411613
233,234,PS2,Parson St. A38 East,239,357880,170506,Yes,NO2,1,Yes,0.7,9.0,,Yes,On lamp post outside 153 Bedminster Road (Parking in Aylesbury Road),3.2,22.1,29.0,Urban Traffic,Kerbside,Roadside Stage 4 (DT),,,,,,,,1.0,Yes,Yes,80.0,-2.607281208505136,51.431978895851735
234,235,PS3,Parson St. A38 West,240,357599,170474,No,NO2,1,Yes,3.0,6.0,,Yes,,,35.1,29.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6113193732668143,51.431670111458416
235,236,PS4,Parson St. Bedminster Road,241,358087,170638,No,NO2,1,Yes,2.0,5.0,,Yes,,,13.9,30.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6043193881925752,51.43318113478423
